chrom,intron,splice_donor,splice_acceptor,coding_exon,3utr,5utr,intergenic
chr1,0.0,-0.299293554561711,-0.4995779832079196,0.0242645856024368,-0.1041054200801033,-8.189313512641109e-05,0.1173904076411514
chr2,0.0,-0.2658809065288825,-0.4198405045681613,0.0340053177787258,-0.094781977500051,0.0073299248243266,0.1022425563179062
chr3,0.0,-0.2775361051866413,-0.4409014900835965,0.0064040024749281,-0.1187935690485543,-0.0325693535389646,0.1037168139818226
chr4,0.0,-0.2300108554517581,-0.4256404137905825,-0.0105638040725712,-0.1494847716765399,-0.036483670360367,0.0779927458934347
chr5,0.0,-0.227114048632092,-0.4347090416574743,0.0355838606062324,-0.111737126420874,-0.009255371634573,0.0852110092179214
chr6,0.0,-0.2493442690312006,-0.3933239055019293,0.0487648327523165,-0.0919477666255849,0.0325485957159873,0.1056573204685264
chr7,0.0,-0.2362186556987136,-0.4502830749712434,0.0453137996664311,-0.1121480821785525,-0.000802244697003,0.1259544171578364
chr8,0.0,-0.2427531389163315,-0.4239015177280394,-0.00867230555622,-0.1585473434489415,-0.0254583562826433,0.0970276025636018
chr9,0.0,-0.2700000531412982,-0.5249482710554378,0.021028679497821,-0.1091187125783315,-0.0051639500239834,0.1068147131127011
chr10,0.0,-0.2416278630141906,-0.4396853434955122,0.0209870450992987,-0.0801863821738782,-0.0100659846824092,0.1043539036723666
chr11,0.0,-0.2997583678706894,-0.5729529137704995,0.0456085751579764,-0.1009715731618778,-0.0403290145945179,0.119964361682591
chr12,0.0,-0.2875293194239352,-0.4813852673141703,0.0069343465528665,-0.0962620004475872,-0.0098493956866124,0.1181990974450728
chr13,0.0,-0.2167935992341189,-0.3726350838887687,0.0378451017901266,-0.1629764043560199,0.0138923469696716,0.0898193497892463
chr14,0.0,-0.2498299006873651,-0.447362371480721,0.0566822230535312,-0.1145942077098638,0.0122646277620516,0.1067340028368913
chr15,0.0,-0.3563486182402124,-0.4529919014206127,0.0064058862375747,-0.0886953977310817,-0.0003717400081205,0.1006110010676345
chr16,0.0,-0.320169295989282,-0.5847716931913219,0.0039783846629855,-0.1100315161821186,-0.0213379214663978,0.119259490060094
chr17,0.0,-0.3862272779113361,-0.5075988530035895,0.044497172502039,-0.0665926522702118,-0.0099262647167267,0.1590362378833066
chr18,0.0,-0.1948206705530019,-0.3683116059663332,0.0376494843065808,-0.0928163439910212,0.0001104450873989,0.1061041991991375
chr19,0.0,-0.3359262310842571,-0.6607052930984232,0.0297044481243599,0.0088732092157315,-0.0092002933844987,0.1272134195627865
chr20,0.0,-0.2716263846916384,-0.5443238379043011,0.0104684075551446,-0.0792562340655933,-0.0010666874157464,0.1325929214839517
chr21,0.0,-0.2346806067700621,-0.4314791836900261,0.0308456360810605,-0.1178593841651503,-0.0170479146258148,0.1213610279066379
chr22,0.0,-0.3695924065877611,-0.5294443936237924,0.0397005157938175,-0.0629421151853031,-0.0177266696245924,0.1576808657437648
chrX,0.0,-0.3050770376736993,-0.5316443690362676,-0.0015874838923862,-0.1460038295706119,-0.0526196657151125,0.1626838135851512
chrY,0.0,-0.3324923542799141,-0.5820966898724935,0.0419410305618188,-0.0374080275838175,-0.067092620787528,0.1777646540051005
